,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,pib,pib_lower,pib_upper,reformaisr,reformaisr_lower,reformaisr_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2004-07-01,-383149.8684663919,64709.32745178345,125425.29787261649,-383149.8684663919,-383149.8684663919,478845.078471349,478845.078471349,478845.078471349,-28351.595814939286,-28351.595814939286,-28351.595814939286,-28351.595814939286,-28351.595814939286,-28351.595814939286,0.0,0.0,0.0,507196.6742862884,507196.6742862884,507196.6742862884,0.0,0.0,0.0,95695.2100049571
11,2004-10-01,-381948.8179454528,129645.87257037965,189767.81233879033,-381948.8179454528,-381948.8179454528,542501.5487773898,542501.5487773898,542501.5487773898,-23065.080627784064,-23065.080627784064,-23065.080627784064,-23065.080627784064,-23065.080627784064,-23065.080627784064,0.0,0.0,0.0,565566.6294051738,565566.6294051738,565566.6294051738,0.0,0.0,0.0,160552.730831937
12,2005-01-01,-380747.7674245137,166442.43530465692,228660.2266227696,-380747.7674245137,-380747.7674245137,578424.5154960956,578424.5154960956,578424.5154960956,-29368.892418367213,-29368.892418367213,-29368.892418367213,-29368.892418367213,-29368.892418367213,-29368.892418367213,0.0,0.0,0.0,607793.4079144628,607793.4079144628,607793.4079144628,0.0,0.0,0.0,197676.74807158194
13,2005-04-01,-379572.82670782914,120893.64768254281,179984.6830209997,-379572.82670782914,-379572.82670782914,529301.0623150654,529301.0623150654,529301.0623150654,-20227.897404953732,-20227.897404953732,-20227.897404953732,-20227.897404953732,-20227.897404953732,-20227.897404953732,0.0,0.0,0.0,549528.9597200193,549528.9597200193,549528.9597200193,0.0,0.0,0.0,149728.23560723627
14,2005-07-01,-378384.8310942925,70003.13632927656,133313.6773286737,-378384.8310942925,-378384.8310942925,481090.5016710952,481090.5016710952,481090.5016710952,-24160.59350437312,-24160.59350437312,-24160.59350437312,-24160.59350437312,-24160.59350437312,-24160.59350437312,0.0,0.0,0.0,505251.0951754683,505251.0951754683,505251.0951754683,0.0,0.0,0.0,102705.67057680269
15,2005-10-01,-377183.78058390395,140708.79744046062,200713.54294648903,-377183.78058390395,-377183.78058390395,548604.3643978875,548604.3643978875,548604.3643978875,-17769.853510722656,-17769.853510722656,-17769.853510722656,-17769.853510722656,-17769.853510722656,-17769.853510722656,0.0,0.0,0.0,566374.2179086101,566374.2179086101,566374.2179086101,0.0,0.0,0.0,171420.58381398354
16,2006-01-01,-375982.7301026852,185144.06613325502,245718.2677547739,-375982.7301026852,-375982.7301026852,592130.2134495499,592130.2134495499,592130.2134495499,-20189.799103458023,-20189.799103458023,-20189.799103458023,-20189.799103458023,-20189.799103458023,-20189.799103458023,0.0,0.0,0.0,612320.0125530078,612320.0125530078,612320.0125530078,0.0,0.0,0.0,216147.48334686464
17,2006-04-01,-374807.7894145364,128418.1487937363,188919.06005006263,-374807.7894145364,-374807.7894145364,534097.4352656148,534097.4352656148,534097.4352656148,-12968.321921271181,-12968.321921271181,-12968.321921271181,-12968.321921271181,-12968.321921271181,-12968.321921271181,0.0,0.0,0.0,547065.7571868859,547065.7571868859,547065.7571868859,0.0,0.0,0.0,159289.64585107839
18,2006-07-01,-373619.793777916,80807.23949438242,143670.055551809,-373619.793777916,-373619.793777916,487046.6663976962,487046.6663976962,487046.6663976962,-16193.508011929354,-16193.508011929354,-16193.508011929354,-16193.508011929354,-16193.508011929354,-16193.508011929354,0.0,0.0,0.0,503240.1744096255,503240.1744096255,503240.1744096255,0.0,0.0,0.0,113426.87261978019
19,2006-10-01,-372418.7432441898,149077.03347492754,212119.54024977906,-372418.7432441898,-372418.7432441898,553187.1533020489,553187.1533020489,553187.1533020489,-11744.802515077605,-11744.802515077605,-11744.802515077605,-11744.802515077605,-11744.802515077605,-11744.802515077605,0.0,0.0,0.0,564931.9558171264,564931.9558171264,564931.9558171264,0.0,0.0,0.0,180768.4100578591
20,2007-01-01,-371217.69271046366,198396.6049596962,260074.30144687064,-371217.69271046366,-371217.69271046366,599625.9192565351,599625.9192565351,599625.9192565351,-16707.082885387077,-16707.082885387077,-16707.082885387077,-16707.082885387077,-16707.082885387077,-16707.082885387077,0.0,0.0,0.0,616333.0021419221,616333.0021419221,616333.0021419221,0.0,0.0,0.0,228408.22654607147
21,2007-04-01,-370042.75201923255,131103.78944262015,193215.05121704287,-370042.75201923255,-370042.75201923255,532386.8676253834,532386.8676253834,532386.8676253834,-9399.464308642171,-9399.464308642171,-9399.464308642171,-9399.464308642171,-9399.464308642171,-9399.464308642171,0.0,0.0,0.0,541786.3319340255,541786.3319340255,541786.3319340255,0.0,0.0,0.0,162344.11560615088
22,2007-07-01,-368854.7564314321,88826.92490084915,152395.59527153688,-368854.7564314321,-368854.7564314321,489201.06690577127,489201.06690577127,489201.06690577127,-11959.28729468002,-11959.28729468002,-11959.28729468002,-11959.28729468002,-11959.28729468002,-11959.28729468002,0.0,0.0,0.0,501160.35420045134,501160.35420045134,501160.35420045134,0.0,0.0,0.0,120346.31047433917
23,2007-10-01,-367653.7058893669,153552.36307961456,217303.61044584998,-367653.7058893669,-367653.7058893669,554422.182730411,554422.182730411,554422.182730411,-6820.649208161034,-6820.649208161034,-6820.649208161034,-6820.649208161034,-6820.649208161034,-6820.649208161034,0.0,0.0,0.0,561242.831938572,561242.831938572,561242.831938572,0.0,0.0,0.0,186768.47684104403
24,2008-01-01,-366452.6553473018,208070.27612721245,268987.1975459879,-366452.6553473018,-366452.6553473018,605196.8108314467,605196.8108314467,605196.8108314467,-14638.894807647785,-14638.894807647785,-14638.894807647785,-14638.894807647785,-14638.894807647785,-14638.894807647785,0.0,0.0,0.0,619835.7056390943,619835.7056390943,619835.7056390943,0.0,0.0,0.0,238744.15548414487
25,2008-04-01,-365264.6596833015,148176.5276092103,210203.96064751464,-365264.6596833015,-365264.6596833015,544565.6230671492,544565.6230671492,544565.6230671492,-4609.942517476732,-4609.942517476732,-4609.942517476732,-4609.942517476732,-4609.942517476732,-4609.942517476732,0.0,0.0,0.0,549175.5655846259,549175.5655846259,549175.5655846259,0.0,0.0,0.0,179300.96338384767
26,2008-07-01,-364076.66401930124,100714.84069462337,165593.82893036777,-364076.66401930124,-364076.66401930124,497628.4814765314,497628.4814765314,497628.4814765314,-9568.1928097528,-9568.1928097528,-9568.1928097528,-9568.1928097528,-9568.1928097528,-9568.1928097528,0.0,0.0,0.0,507196.6742862842,507196.6742862842,507196.6742862842,0.0,0.0,0.0,133551.81745723018
27,2008-10-01,-362875.61345789436,163479.13315708138,225594.47109874754,-362875.61345789436,-362875.61345789436,557772.3977773943,557772.3977773943,557772.3977773943,-7794.231627796818,-7794.231627796818,-7794.231627796818,-7794.231627796818,-7794.231627796818,-7794.231627796818,0.0,0.0,0.0,565566.629405191,565566.629405191,565566.629405191,0.0,0.0,0.0,194896.78431949992
28,2009-01-01,-361674.56291466876,187072.58603191853,253673.06608329038,-361674.56291466876,-361674.56291466876,583267.2502095042,583267.2502095042,583267.2502095042,-24526.157704994148,-24526.157704994148,-24526.157704994148,-24526.157704994148,-24526.157704994148,-24526.157704994148,0.0,0.0,0.0,607793.4079144982,607793.4079144982,607793.4079144982,0.0,0.0,0.0,221592.6872948354
29,2009-04-01,-360499.62216586113,138658.2371623159,199478.80912535617,-360499.62216586113,-360499.62216586113,528181.0984134774,528181.0984134774,528181.0984134774,-21347.86130657249,-21347.86130657249,-21347.86130657249,-21347.86130657249,-21347.86130657249,-21347.86130657249,0.0,0.0,0.0,549528.95972005,549528.95972005,549528.95972005,0.0,0.0,0.0,167681.4762476163
30,2009-07-01,-359311.6264884484,99167.81334059217,158857.25238368788,-359311.6264884484,-359311.6264884484,486572.28771562997,486572.28771562997,486572.28771562997,-18678.8074599099,-18678.8074599099,-18678.8074599099,-18678.8074599099,-18678.8074599099,-18678.8074599099,0.0,0.0,0.0,505251.0951755399,505251.0951755399,505251.0951755399,0.0,0.0,0.0,127260.66122718155
31,2009-10-01,-358110.5759134817,164241.26220445114,228406.41655273453,-358110.5759134817,-358110.5759134817,555629.6020805956,555629.6020805956,555629.6020805956,-10744.615828042022,-10744.615828042022,-10744.615828042022,-10744.615828042022,-10744.615828042022,-10744.615828042022,0.0,0.0,0.0,566374.2179086377,566374.2179086377,566374.2179086377,0.0,0.0,0.0,197519.02616711386
32,2010-01-01,-356909.525338515,208906.0201593472,269966.40647065506,-356909.525338515,-356909.525338515,595344.7386261773,595344.7386261773,595344.7386261773,-16975.27392685718,-16975.27392685718,-16975.27392685718,-16975.27392685718,-16975.27392685718,-16975.27392685718,0.0,0.0,0.0,612320.0125530345,612320.0125530345,612320.0125530345,0.0,0.0,0.0,238435.2132876623
33,2010-04-01,-355734.58451876836,152381.82765199995,217043.81912774482,-355734.58451876836,-355734.58451876836,537727.9593607088,537727.9593607088,537727.9593607088,-9337.797826113163,-9337.797826113163,-9337.797826113163,-9337.797826113163,-9337.797826113163,-9337.797826113163,0.0,0.0,0.0,547065.757186822,547065.757186822,547065.757186822,0.0,0.0,0.0,181993.37484194047
34,2010-07-01,-354546.58880102454,106577.62403935693,169433.72829633675,-354546.58880102454,-354546.58880102454,492964.6105256521,492964.6105256521,492964.6105256521,-10275.563883925926,-10275.563883925926,-10275.563883925926,-10275.563883925926,-10275.563883925926,-10275.563883925926,0.0,0.0,0.0,503240.17440957803,503240.17440957803,503240.17440957803,0.0,0.0,0.0,138418.0217246276
35,2010-10-01,-353345.5381639559,176345.21517238632,238041.2155721651,-353345.5381639559,-353345.5381639559,561702.4766289744,561702.4766289744,561702.4766289744,-3229.479188178934,-3229.479188178934,-3229.479188178934,-3229.479188178934,-3229.479188178934,-3229.479188178934,0.0,0.0,0.0,564931.9558171533,564931.9558171533,564931.9558171533,0.0,0.0,0.0,208356.93846501852
