,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,pib,pib_lower,pib_upper,tasa iva,tasa iva_lower,tasa iva_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
26,2008-07-01,353285.00427869643,122801.45693171614,150019.10325062755,353285.00427869643,353285.00427869643,-0.008496781059474646,-0.008496781059474646,-0.008496781059474646,-0.6138004307425545,-0.6138004307425545,-0.6138004307425545,-0.020169485071259475,-0.020169485071259475,-0.020169485071259475,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6053036496830799,-0.6053036496830799,-0.6053036496830799,0.0,0.0,0.0,136438.51647754735
27,2008-10-01,354728.9626901004,138956.52584916548,164457.61461915224,354728.9626901004,354728.9626901004,-0.004757320088330255,-0.004757320088330255,-0.004757320088330255,-0.5723257209178684,-0.5723257209178684,-0.5723257209178684,-0.016430024100115084,-0.016430024100115084,-0.016430024100115084,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5675684008295381,-0.5675684008295381,-0.5675684008295381,0.0,0.0,0.0,151708.45338804106
28,2009-01-01,356172.92110130255,97818.38565571341,123916.99074315612,356172.92110130255,356172.92110130255,-0.04002775620281398,-0.04002775620281398,-0.04002775620281398,-0.6878690840491557,-0.6878690840491557,-0.6878690840491557,-0.05170046021459881,-0.05170046021459881,-0.05170046021459881,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6478413278463417,-0.6478413278463417,-0.6478413278463417,0.0,0.0,0.0,111172.58010023736
29,2009-04-01,357585.48911226116,113662.27220070003,140797.55272239563,357585.48911226116,357585.48911226116,-0.03332799554428482,-0.03332799554428482,-0.03332799554428482,-0.6438579595474542,-0.6438579595474542,-0.6438579595474542,-0.04500069955606965,-0.04500069955606965,-0.04500069955606965,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6105299640031694,-0.6105299640031694,-0.6105299640031694,0.0,0.0,0.0,127351.2257286623
30,2009-07-01,359013.7523237911,119902.82326222044,147139.61027458136,359013.7523237911,359013.7523237911,-0.02770170406113487,-0.02770170406113487,-0.02770170406113487,-0.629111844042076,-0.629111844042076,-0.629111844042076,-0.0393744080729197,-0.0393744080729197,-0.0393744080729197,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.6014101399809411,-0.6014101399809411,-0.6014101399809411,0.0,0.0,0.0,133153.94856290575
31,2009-10-01,360457.7107354477,133732.55571867758,159312.80484177452,360457.7107354477,360457.7107354477,-0.010976648154197573,-0.010976648154197573,-0.010976648154197573,-0.5937996110166426,-0.5937996110166426,-0.5937996110166426,-0.022649352165982403,-0.022649352165982403,-0.022649352165982403,0.011672704011784829,0.011672704011784829,0.011672704011784829,-0.5828229628624451,-0.5828229628624451,-0.5828229628624451,0.0,0.0,0.0,146418.06231278938
32,2010-01-01,361901.6691471044,104607.05328220926,130071.62199067412,361901.6691471044,361901.6691471044,-0.043903548553609825,-0.043903548553609825,-0.043903548553609825,-0.6758524355535468,-0.6758524355535468,-0.6758524355535468,-0.035783406632368196,-0.035783406632368196,-0.035783406632368196,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.631948886999937,-0.631948886999937,-0.631948886999937,0.0,0.0,0.0,117309.54462314
33,2010-04-01,363314.2371580242,119148.33913245499,145657.2303837443,363314.2371580242,363314.2371580242,-0.02780396075694238,-0.02780396075694238,-0.02780396075694238,-0.6363373341782051,-0.6363373341782051,-0.6363373341782051,-0.019683818835700747,-0.019683818835700747,-0.019683818835700747,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6085333734212628,-0.6085333734212628,-0.6085333734212628,0.0,0.0,0.0,132123.8240158989
34,2010-07-01,364742.5003690654,117950.02854723025,145410.36566040487,364742.5003690654,364742.5003690654,-0.029780745598078646,-0.029780745598078646,-0.029780745598078646,-0.6376746236430263,-0.6376746236430263,-0.6376746236430263,-0.021660603676837017,-0.021660603676837017,-0.021660603676837017,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6078938780449477,-0.6078938780449477,-0.6078938780449477,0.0,0.0,0.0,132155.46371960524
35,2010-10-01,366186.45878057677,133832.67614466196,159704.1548508641,366186.45878057677,366186.45878057677,-0.014927794481035837,-0.014927794481035837,-0.014927794481035837,-0.5996133868554986,-0.5996133868554986,-0.5996133868554986,-0.0068076525597942075,-0.0068076525597942075,-0.0068076525597942075,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5846855923744627,-0.5846855923744627,-0.5846855923744627,0.0,0.0,0.0,146616.1560105337
36,2011-01-01,367630.41719208815,113276.51478062454,139302.900608192,367630.41719208815,367630.41719208815,-0.0302616580869182,-0.0302616580869182,-0.0302616580869182,-0.6571157517496622,-0.6571157517496622,-0.6571157517496622,-0.022141516165676566,-0.022141516165676566,-0.022141516165676566,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.626854093662744,-0.626854093662744,-0.626854093662744,0.0,0.0,0.0,126054.67923286722
37,2011-04-01,369042.9852033493,127839.99679997755,153121.10637373046,369042.9852033493,369042.9852033493,-0.017151518275450063,-0.017151518275450063,-0.017151518275450063,-0.6194433122492089,-0.6194433122492089,-0.6194433122492089,-0.009031376354208432,-0.009031376354208432,-0.009031376354208432,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6022917939737589,-0.6022917939737589,-0.6022917939737589,0.0,0.0,0.0,140441.77608665082
38,2011-07-01,370471.2484142732,119928.82413219713,148059.13616956514,370471.2484142732,370471.2484142732,-0.014249308633091158,-0.014249308633091158,-0.014249308633091158,-0.6390288385389012,-0.6390288385389012,-0.6390288385389012,-0.006129166711849528,-0.006129166711849528,-0.006129166711849528,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6247795299058101,-0.6247795299058101,-0.6247795299058101,0.0,0.0,0.0,133729.43682804343
39,2011-10-01,371915.2068253172,146509.8692539823,171761.95498827074,371915.2068253172,371915.2068253172,0.0015123510729215424,0.0015123510729215424,0.0015123510729215424,-0.5716436247952876,-0.5716436247952876,-0.5716436247952876,0.009632492994163173,0.009632492994163173,0.009632492994163173,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5731559758682092,-0.5731559758682092,-0.5731559758682092,0.0,0.0,0.0,159312.24987920377
40,2012-01-01,373359.1652366093,119507.40326387926,146784.3454823221,373359.1652366093,373359.1652366093,-0.011841167006052394,-0.011841167006052394,-0.011841167006052394,-0.644364117902413,-0.644364117902413,-0.644364117902413,-0.0037210250848107628,-0.0037210250848107628,-0.0037210250848107628,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6325229508963606,-0.6325229508963606,-0.6325229508963606,0.0,0.0,0.0,132779.9160681403
41,2012-04-01,374787.42844777857,132058.65510289316,159938.20491375795,374787.42844777857,374787.42844777857,-0.0013668780165014749,-0.0013668780165014749,-0.0013668780165014749,-0.6096280723913055,-0.6096280723913055,-0.6096280723913055,0.006753263904740156,0.006753263904740156,0.006753263904740156,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.608261194374804,-0.608261194374804,-0.608261194374804,0.0,0.0,0.0,146306.490886665
42,2012-07-01,376215.6916586191,134221.77339826673,160905.36098292226,376215.6916586191,376215.6916586191,-0.003284763052038015,-0.003284763052038015,-0.003284763052038015,-0.6085884127352326,-0.6085884127352326,-0.6085884127352326,0.004835378869203616,0.004835378869203616,0.004835378869203616,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6053036496831945,-0.6053036496831945,-0.6053036496831945,0.0,0.0,0.0,147255.18102601243
